Negative_0,Neutral_1,Positive_2
0.10054682,0.07862603,0.8208271
0.87162757,0.048853766,0.07951869
0.34275666,0.078592576,0.5786508
0.3837344,0.18520865,0.43105695
0.9747866,0.0039853947,0.021227987
0.112446725,0.08163315,0.8059201
0.77846646,0.0033569795,0.21817663
0.010232664,0.0020065252,0.9877608
0.01896977,0.0011395992,0.9798907
0.7218562,0.13851069,0.13963321
0.24901824,0.165606,0.5853758
0.045790054,0.056735005,0.8974749
0.75294214,0.15864581,0.08841207
0.15695374,0.1600338,0.6830124
0.78428274,0.0027964967,0.21292081
0.120229624,0.0047590686,0.87501127
0.17818518,0.06658473,0.75523007
0.93210536,0.03942711,0.028467529
0.010461398,0.0037746194,0.98576397
0.58205813,0.10980583,0.30813608
0.04597682,0.07006558,0.88395756
0.4848726,0.017825479,0.4973019
0.013437523,0.0016401194,0.9849223
0.46144414,0.07024787,0.46830797
0.042889625,0.004288113,0.95282227
0.28921008,0.061284274,0.6495056
0.029280178,0.024548795,0.946171
0.044612564,0.07893612,0.8764514
0.10234516,0.2090193,0.6886355
0.05419292,0.06575048,0.8800566
0.33379427,0.11601184,0.55019397
0.013864282,0.007593812,0.97854185
0.8664698,0.07203377,0.06149645
0.01484699,0.0026741137,0.98247886
0.4510206,0.15342304,0.39555633
0.038159776,0.025601951,0.9362383
0.03821351,0.0033210882,0.9584654
0.97917557,0.00459186,0.016232483
0.8788389,0.048070088,0.07309094
0.89820284,0.050709527,0.051087655
0.9830115,0.005734172,0.011254342
0.98198766,0.008407655,0.009604674
0.7248178,0.11662076,0.15856141
0.096235305,0.0035122975,0.90025246
0.1043379,0.26619884,0.6294633
0.7356264,0.1404166,0.12395705
0.8703587,0.05335329,0.076287925
0.008048781,0.004164063,0.9877872
0.008757803,0.0020916355,0.9891506
0.011325286,0.0029510881,0.9857237
0.73945016,0.14480594,0.115743905
0.24473646,0.59109414,0.1641694
0.7832574,0.121260166,0.09548244
0.20356059,0.10976288,0.6866765
0.981635,0.009858431,0.008506497
0.44270223,0.061180823,0.496117
0.825684,0.011610905,0.16270508
0.047268968,0.013330954,0.9394001
0.5015077,0.12549786,0.37299445
0.5201569,0.12680197,0.35304114
0.21048975,0.57068557,0.2188247
0.98760253,0.0042933975,0.008104084
0.427704,0.31085077,0.26144522
0.07814573,0.09436018,0.8274941
0.98760855,0.0033603082,0.009031089
0.89193714,0.07015799,0.03790492
0.60569644,0.017417159,0.37688643
0.9119762,0.043402065,0.044621702
0.042338703,0.0018044158,0.9558569
0.8730795,0.011741634,0.11517894
0.6927339,0.13526872,0.17199749
0.083446026,0.11453691,0.8020171
0.5582361,0.15343726,0.28832662
0.9386069,0.0072011347,0.054191943
0.06329969,0.003765347,0.932935
0.84058714,0.06878628,0.09062658
0.24991925,0.07973157,0.67034924
0.95758104,0.010645118,0.031773873
0.022407891,0.0022872933,0.9753048
0.10880298,0.1131222,0.7780748
0.09988617,0.06599125,0.83412254
0.9708301,0.0092991525,0.019870665
0.98167336,0.006345565,0.011981112
0.8582222,0.08037041,0.06140731
0.9900238,0.0024734146,0.007502712
0.17045659,0.33733088,0.49221253
0.2060199,0.5198899,0.2740903
0.10309199,0.23938766,0.6575203
0.658744,0.12148645,0.21976955
0.09838279,0.31388763,0.5877296
0.05392292,0.052783586,0.89329344
0.007287671,0.0031229188,0.9895894
0.72682667,0.0053171865,0.26785615
0.9887749,0.0037229878,0.007502164
0.022749504,0.0017610333,0.9754894
0.69719505,0.16635643,0.1364485
0.9851003,0.0035071878,0.011392548
0.7115835,0.16068952,0.12772705
0.93594915,0.029520048,0.03453079
0.82649046,0.094342925,0.079166636
0.9224575,0.008016788,0.06952574
0.15567172,0.5065713,0.33775705
0.51609415,0.004309509,0.47959626
0.083323255,0.19933964,0.71733713
0.9740518,0.006433255,0.019514922
0.48112616,0.30672285,0.21215095
0.4146239,0.007890893,0.5774852
0.5180945,0.09514906,0.38675645
0.50001055,0.07658577,0.4234037
0.46511754,0.21124932,0.32363313
0.2931505,0.45174557,0.25510392
0.18388245,0.004437613,0.81168
0.047646318,0.037001155,0.9153525
0.53972334,0.1969355,0.2633412
0.24760461,0.23545891,0.5169365
0.15834099,0.2574333,0.5842258
0.6150517,0.26314387,0.12180445
0.46790117,0.34512255,0.18697624
0.7400042,0.06536469,0.19463119
0.28315377,0.5465393,0.17030688
0.23484401,0.49066454,0.2744915
0.45851147,0.0043208227,0.53716767
0.31064796,0.19966178,0.48969027
0.7972992,0.115969755,0.08673108
0.058359314,0.07179001,0.86985064
0.96117735,0.020695196,0.01812746
0.21954359,0.07771528,0.7027411
0.7209058,0.17078757,0.10830673
0.46515277,0.183169,0.35167825
0.41943967,0.06487225,0.515688
0.009616408,0.0027125177,0.987671
0.70414406,0.16509558,0.13076043
0.23693481,0.59267104,0.17039414
0.79780483,0.107440025,0.09475515
0.050876904,0.04090965,0.90821344
0.58664685,0.23101325,0.18233989
0.50449127,0.1691065,0.3264023
0.42914367,0.19805236,0.372804
0.052563276,0.074361384,0.8730754
0.8939743,0.061316513,0.044709098
0.96795523,0.0071061477,0.024938604
0.7663461,0.004925271,0.22872864
0.5099115,0.14927801,0.34081054
0.11401519,0.0036481698,0.8823366
0.27950552,0.5368232,0.18367127
0.067896776,0.07688746,0.8552158
0.09147284,0.19075808,0.7177691
0.036091935,0.046806797,0.91710126
0.01544529,0.004439644,0.98011506
0.98943686,0.0034050546,0.0071580093
0.03496782,0.021796016,0.94323623
0.47297624,0.09333088,0.43369284
0.92527175,0.0040271375,0.0707012
0.26301485,0.11154163,0.6254435
0.96357185,0.019265492,0.01716272
0.028419299,0.0016735739,0.9699071
0.2101396,0.14997357,0.63988686
0.97802645,0.0023349235,0.019638631
0.06552481,0.007747604,0.92672753
0.042828362,0.06612194,0.8910497
0.9734031,0.0056445254,0.020952396
0.54138917,0.013182699,0.4454281
0.9804151,0.0032008863,0.016384052
0.1014074,0.13089783,0.7676947
0.5889234,0.16971849,0.24135822
0.014556021,0.014768566,0.9706754
0.11063196,0.0014027599,0.88796526
0.5727844,0.20497283,0.22224268
0.7942377,0.070913486,0.13484876
0.018317007,0.0056178416,0.9760651
0.7733793,0.14238146,0.084239244
0.029416846,0.005599839,0.96498334
0.9537536,0.0017956021,0.044450864
0.8106584,0.065330714,0.12401094
0.9574622,0.0057766456,0.03676111
0.73741734,0.12232562,0.14025712
0.71500146,0.17442952,0.11056905
0.5448906,0.2638632,0.19124627
0.06524065,0.07545736,0.85930204
0.20826022,0.20104314,0.5906967
0.29421455,0.50876826,0.1970172
0.91050535,0.0105034,0.07899124
0.0507641,0.0510139,0.89822197
0.036887385,0.006166751,0.9569459
0.47831827,0.31621054,0.20547116
0.7452462,0.14845802,0.10629577
0.117204025,0.0015048032,0.88129115
0.50862163,0.13458239,0.35679594
0.3943288,0.050304808,0.5553664
0.97719157,0.002387177,0.020421384
0.19710122,0.11892877,0.68397003
0.43582892,0.120153144,0.44401795
0.70348847,0.13279659,0.163715
0.9387973,0.0037423705,0.057460334
0.524486,0.31576428,0.15974969
0.11381561,0.10485091,0.7813335
0.16204724,0.37245572,0.46549705
0.6187489,0.20177767,0.17947342
0.25975075,0.0030998157,0.7371494
0.4062377,0.12793434,0.46582797
0.43883434,0.42378515,0.13738051
0.95971626,0.0035822869,0.03670142
0.9140225,0.040962353,0.04501515
0.009209562,0.0027970646,0.98799336
0.32101744,0.35915607,0.3198265
0.017725583,0.0013347198,0.98093975
0.8741233,0.06337272,0.06250401
0.7858047,0.003233935,0.21096134
0.3703756,0.0035483674,0.626076
0.1067718,0.3274143,0.56581396
0.018134007,0.013920808,0.9679452
0.7476645,0.14886893,0.1034666
0.15664609,0.21432872,0.62902516
0.033719152,0.039149936,0.9271309
0.9613458,0.0028470955,0.035807148
0.05049766,0.04891929,0.9005831
0.8793917,0.017374508,0.1032338
0.9780466,0.00821524,0.013738135
0.73091227,0.13499403,0.1340937
0.12883149,0.004344752,0.86682373
0.16527882,0.18929256,0.6454286
0.010502248,0.0025612786,0.9869365
0.1697386,0.18266721,0.64759415
0.015314125,0.014120863,0.970565
0.012244272,0.0026887169,0.985067
0.7570877,0.16677733,0.07613494
0.2028417,0.080451824,0.7167065
0.2432468,0.26464057,0.49211264
0.067098275,0.110169806,0.82273185
0.656852,0.16901079,0.17413725
0.020402858,0.00435518,0.97524196
0.80867076,0.0044352547,0.18689397
0.049397,0.056426726,0.89417624
0.98392695,0.0026185615,0.013454452
0.78189945,0.008296949,0.20980357
0.6822037,0.16771816,0.15007815
0.18426658,0.13130842,0.68442494
0.05831387,0.07137719,0.870309
0.0643801,0.034287382,0.9013325
0.89806956,0.009960471,0.091969945
0.01695851,0.0012487546,0.98179275
0.06306395,0.05344921,0.88348687
0.7078003,0.13629313,0.15590656
0.8432441,0.009434478,0.14732146
0.13709393,0.11150725,0.75139886
0.33243117,0.22677717,0.4407917
0.3737948,0.0024540946,0.62375104
0.6730287,0.17002816,0.15694316
0.48743606,0.33452627,0.17803761
0.941918,0.0040036626,0.054078322
0.7203644,0.0718419,0.20779373
0.11888896,0.07304553,0.80806553
0.7856269,0.08836491,0.12600823
0.012665705,0.00190506,0.9854292
0.9695207,0.0040288176,0.026450494
0.7473144,0.17286667,0.07981894
0.3579466,0.1575256,0.48452783
0.01900118,0.004636463,0.9763624
0.1409155,0.51088935,0.34819517
0.14861365,0.5247649,0.32662147
0.014964835,0.020017345,0.96501774
0.016902898,0.0017174907,0.98137957
0.016912196,0.003921365,0.97916645
0.04608603,0.0034566317,0.95045733
0.32626075,0.17131628,0.5024229
0.03474965,0.035756297,0.9294941
0.49733388,0.3003584,0.2023077
0.7639263,0.15395658,0.08211705
0.9783935,0.0059448997,0.015661558
0.82519555,0.080560915,0.094243474
0.34124935,0.19812287,0.46062773
0.017434962,0.009336046,0.973229
0.8249393,0.10163277,0.07342797
0.9705809,0.0069779563,0.02244117
0.82690746,0.09963327,0.073459275
0.5902417,0.15188414,0.2578741
0.07287251,0.0023913865,0.924736
0.21399857,0.6061996,0.17980185
0.034950297,0.05631361,0.90873605
0.4406652,0.40608925,0.15324561
0.80952734,0.065737486,0.12473521
0.016943444,0.0020476526,0.9810089
0.45263126,0.003555398,0.5438133
0.009094794,0.009242365,0.9816628
0.009621347,0.005105682,0.98527294
0.82294375,0.0024478063,0.17460838
0.09067418,0.053960755,0.8553651
0.70666033,0.152872,0.14046761
0.13456306,0.12435104,0.74108595
0.9867063,0.005393561,0.007900145
0.9879903,0.0037313504,0.008278319
0.43535355,0.13979727,0.42484924
0.20544946,0.14622946,0.64832103
0.84268075,0.0033267555,0.15399249
0.96919906,0.002254446,0.028546471
0.98763484,0.004726269,0.007638946
0.29282537,0.22638978,0.4807849
0.29565,0.16565734,0.53869265
0.6701848,0.11394167,0.21587348
0.6415277,0.15868646,0.19978586
0.06604191,0.05629476,0.8776634
0.098302566,0.18777926,0.71391815
0.5546009,0.028491616,0.41690743
0.26808771,0.14457385,0.5873384
0.9836321,0.0036163756,0.012751573
0.9760741,0.0041937483,0.019732146
0.9857325,0.0028738666,0.011393567
0.07056717,0.06537886,0.8640539
0.15872647,0.22568129,0.61559224
0.064856365,0.05508079,0.8800629
0.9667685,0.005704655,0.0275268
0.47222146,0.05577813,0.47200042
0.4130756,0.19604622,0.39087817
0.84470725,0.07149283,0.0837999
0.04924812,0.08208531,0.8686666
0.19192332,0.20758387,0.60049284
0.060386583,0.006120704,0.93349266
0.988946,0.002863148,0.008190812
0.013190018,0.003829362,0.9829806
0.56294113,0.2747122,0.1623467
0.014916837,0.0014165372,0.98366666
0.095666364,0.090666875,0.81366676
0.98238784,0.003242438,0.01436976
0.30250987,0.51628524,0.18120483
0.18999934,0.05978659,0.7502141
0.9588543,0.008440046,0.032705657
0.024337504,0.0046602017,0.9710023
0.9829489,0.0035025615,0.013548559
0.9793372,0.0037787429,0.016884096
0.9193752,0.025961451,0.054663397
0.9778151,0.0070496136,0.015135367
0.54524416,0.09148641,0.36326945
0.96574765,0.0050562695,0.029196126
0.21785606,0.17272922,0.6094147
0.33536375,0.10882099,0.5558152
0.067771524,0.043462962,0.8887655
0.36968136,0.18323722,0.4470815
0.03714297,0.035960954,0.9268961
0.2742687,0.109627716,0.6161036
0.35452548,0.45200393,0.1934706
0.01021069,0.0029512227,0.98683804
0.9056472,0.055933956,0.038418822
0.58415,0.13953917,0.27631077
0.18065412,0.13241257,0.6869333
0.3158055,0.1414509,0.54274356
0.058751237,0.11457982,0.8266689
0.7809103,0.11734024,0.10174945
0.20470686,0.27733228,0.51796085
0.14600171,0.27920118,0.5747971
0.980029,0.004457258,0.015513743
0.27912056,0.07610582,0.6447736
0.54960394,0.24832115,0.20207494
0.28066686,0.13619274,0.58314043
0.503379,0.14063041,0.35599068
0.8140471,0.10104626,0.084906705
0.5111793,0.273783,0.21503766
0.050682213,0.06420862,0.8851092
0.9541109,0.02148255,0.024406599
0.63764524,0.24838687,0.11396794
0.014479295,0.0041037872,0.9814169
0.9663627,0.0035411795,0.030096035
0.9122186,0.03980345,0.04797791
0.11174877,0.004927954,0.8833233
0.740175,0.16894904,0.0908759
0.69340116,0.20156558,0.105033256
0.04582882,0.05980398,0.8943672
0.012851437,0.006162662,0.98098594
0.036357697,0.0020148847,0.9616274
0.8388724,0.017780779,0.14334685
0.94467413,0.03006013,0.02526573
0.3354494,0.09087535,0.5736752
0.79213136,0.09314195,0.11472668
0.38951066,0.0055977637,0.6048916
0.7378983,0.15975715,0.10234454
0.8991943,0.0704452,0.030360458
0.2514018,0.2292297,0.5193685
0.07929804,0.10008262,0.82061934
0.83059555,0.11014733,0.059257183
0.14759122,0.05199305,0.8004157
0.9796292,0.005150908,0.015219908
0.010693911,0.00313093,0.9861752
0.7940882,0.0686762,0.13723561
0.52147275,0.12865047,0.34987682
0.25798133,0.45436105,0.2876576
0.052933685,0.007982089,0.9390842
0.091527745,0.0020240431,0.9064482
0.8184704,0.0928236,0.088705994
0.978475,0.0040344773,0.017490493
0.014976745,0.0057167835,0.97930646
0.72798413,0.18885921,0.08315659
0.81300306,0.056496948,0.13050005
0.10585135,0.22279271,0.6713559
0.61800444,0.12774856,0.25424698
0.04816957,0.0900656,0.8617648
0.7118826,0.058878057,0.22923933
0.041547235,0.03793799,0.92051476
0.94045126,0.028051782,0.031496953
0.742643,0.10312431,0.15423274
0.57401174,0.27246717,0.15352105
0.013648465,0.014563076,0.9717884
0.92506754,0.048689112,0.026243284
0.975687,0.0039474173,0.020365601
0.48997572,0.18194446,0.32807985
0.08472775,0.23558246,0.6796898
0.03039322,0.044467352,0.92513937
0.17219806,0.3004365,0.5273654
0.2724949,0.37573394,0.35177118
0.17681289,0.3470037,0.47618335
0.49223852,0.34227973,0.16548172
0.060419835,0.06431057,0.8752696
0.114926994,0.05365877,0.8314142
0.010136804,0.0020551905,0.98780805
0.8759528,0.02387032,0.100177
0.48568338,0.17118882,0.34312785
0.97518694,0.0025366289,0.022276381
0.3089932,0.30855563,0.38245112
0.89235353,0.057757884,0.049888454
0.3507827,0.3002534,0.34896392
0.124874346,0.14009716,0.73502856
0.04426584,0.03396084,0.9217733
0.124650605,0.027038252,0.8483111
0.80033433,0.056098882,0.14356683
0.029223073,0.040362556,0.9304143
0.42656687,0.31891876,0.25451434
0.077324644,0.07804318,0.84463215
0.25391856,0.51090074,0.23518075
0.5711752,0.17298011,0.2558446
0.010047799,0.0041463715,0.9858058
0.73207146,0.17262053,0.095307924
0.9771408,0.0043447884,0.018514488
0.27338442,0.46992296,0.25669268
0.18926656,0.2975608,0.5131726
0.83886015,0.056419574,0.10472031
0.95183235,0.005449328,0.042718243
0.30199286,0.19743173,0.5005754
0.97888786,0.00475274,0.016359309
0.62690276,0.21789749,0.1551998
0.363842,0.36413735,0.27202067
0.69913286,0.15916185,0.14170521
0.012735007,0.0016441589,0.9856208
0.080584124,0.064452425,0.8549634
0.69247407,0.12058792,0.18693805
0.07285166,0.03206574,0.89508265
0.51055276,0.105777234,0.38366997
0.5621099,0.17029774,0.26759243
0.4432729,0.3085041,0.24822292
0.059239507,0.0030571914,0.93770325
0.13963582,0.4809407,0.37942344
0.8201165,0.0023882322,0.17749526
0.0422651,0.032265563,0.9254694
0.6874938,0.21032141,0.10218487
0.46219805,0.14094262,0.39685938
0.20828724,0.06677611,0.7249367
0.9894985,0.0039672013,0.00653435
0.07248268,0.0027982518,0.9247191
0.05626164,0.078780234,0.86495817
0.4316275,0.379332,0.18904053
0.18613411,0.4169894,0.3968765
0.05947324,0.0025381194,0.93798864
0.21407449,0.4439674,0.34195808
0.97897524,0.0048990906,0.016125662
0.09880708,0.064055406,0.8371376
0.13138376,0.15036248,0.7182538
0.9036978,0.0019804877,0.09432174
0.17840323,0.3327197,0.48887706
0.13678584,0.37281427,0.4903999
0.5273986,0.24449275,0.2281086
0.013217291,0.0020677645,0.9847149
0.9862533,0.0075857164,0.006160974
0.9258659,0.0042693787,0.06986471
0.026388753,0.029267937,0.94434327
0.80188817,0.0022403228,0.19587156
0.11514389,0.087974496,0.79688156
0.9283063,0.0031357254,0.06855803
0.19574629,0.47988662,0.3243672
0.041226167,0.0031841127,0.9555897
0.5214535,0.21267731,0.26586923
0.12053929,0.29965323,0.5798075
0.66791236,0.15643175,0.17565583
0.44767556,0.22375438,0.3285701
0.9513111,0.028150123,0.020538824
0.070744716,0.038890712,0.8903646
0.98273623,0.002722251,0.014541514
0.045581184,0.019651113,0.93476766
0.530865,0.19039552,0.27873954
0.3339759,0.21423694,0.45178723
0.5112611,0.1686704,0.32006848
0.46791777,0.30820796,0.22387432
0.05084226,0.0013625249,0.94779515
0.05914179,0.043420754,0.89743745
0.9759788,0.002474365,0.021546919
0.02126149,0.0076655913,0.971073
0.765061,0.14411022,0.0908287
0.17995098,0.26478538,0.55526364
0.17362829,0.19654252,0.62982917
0.8200666,0.08092267,0.09901074
0.9606349,0.0027675966,0.036597416
0.97929275,0.0059211487,0.014786131
0.8628092,0.07561924,0.061571624
0.55955046,0.22484002,0.21560949
0.28655928,0.54558283,0.16785783
0.36116228,0.060875684,0.5779621
0.08812106,0.116537586,0.7953413
0.37875128,0.07275898,0.54848975
0.65083116,0.19931296,0.14985588
0.02064102,0.02351557,0.9558434
0.98627913,0.0027919584,0.010928927
0.10773803,0.1462243,0.7460376
0.04977261,0.030398725,0.9198286
0.9767364,0.003933615,0.019330023
0.06456259,0.052941713,0.8824957
0.3774516,0.02243249,0.60011595
0.56278145,0.08724551,0.34997302
0.033035774,0.0148361465,0.95212805
0.015855378,0.0035102179,0.98063445
0.22973043,0.00914238,0.7611272
0.07223409,0.080473855,0.847292
0.5621086,0.17163643,0.26625508
0.70782316,0.105116755,0.18706009
0.3782019,0.112310715,0.50948745
0.97589546,0.0036074745,0.020497136
0.65251136,0.22645654,0.12103208
0.98344177,0.002576858,0.013981331
0.18327944,0.0029680138,0.81375253
0.17708081,0.3267442,0.49617496
0.16151221,0.53090435,0.30758342
0.011479059,0.0029174474,0.98560345
0.35889444,0.1731237,0.46798187
0.44088632,0.15754242,0.40157127
0.6859486,0.19245197,0.12159941
0.78132415,0.10617837,0.11249753
0.19512874,0.07332269,0.73154855
0.040312994,0.042824935,0.91686213
0.8591512,0.06912115,0.071727626
0.018411309,0.001747325,0.97984135
0.017857036,0.0031017947,0.9790412
0.50945157,0.14061785,0.34993052
0.96466154,0.010021465,0.025316956
0.5876307,0.118494295,0.29387498
0.65292126,0.18672952,0.16034918
0.5812007,0.23867635,0.18012291
0.59671867,0.13295403,0.27032724
0.13081989,0.10969351,0.7594866
0.061302923,0.06032292,0.8783741
0.905816,0.044426996,0.049757015
0.041897643,0.0030320736,0.9550703
0.15790716,0.223403,0.61868984
0.569637,0.18004015,0.25032285
0.058338556,0.07860313,0.8630584
0.8176845,0.10183631,0.08047916
0.81284314,0.06522306,0.121933766
0.62863004,0.1999363,0.17143364
0.23853259,0.29886392,0.46260348
0.93848616,0.00181866,0.059695106
0.016597144,0.0014928828,0.98190993
0.5760589,0.29803923,0.12590186
0.009913132,0.0034259795,0.98666096
0.017317902,0.016910782,0.9657714
0.86170334,0.06943582,0.068860754
0.22023496,0.450382,0.32938305
0.6588987,0.16084482,0.18025653
0.22882679,0.34598368,0.42518955
0.37182757,0.055056237,0.5731162
0.052207332,0.05793145,0.8898612
0.06035551,0.10406764,0.83557683
0.7946461,0.0762296,0.12912428
0.115018904,0.30566952,0.5793116
0.24961928,0.36795297,0.38242775
0.9480349,0.0055852234,0.046379887
0.9466597,0.0064392188,0.046901032
0.76960593,0.004352588,0.22604145
0.046181522,0.043189928,0.9106285
0.9021159,0.046336193,0.05154784
0.3451444,0.033730224,0.6211254
0.062154666,0.074910335,0.86293495
0.28687748,0.39860857,0.31451395
0.37706068,0.11202619,0.5109131
0.61854094,0.0024605712,0.37899846
0.79061306,0.079711296,0.12967561
0.9838478,0.0017580043,0.014394231
0.10532396,0.15098532,0.7436907
0.6473394,0.2412798,0.11138074
0.15617315,0.16823979,0.675587
0.21671818,0.061487585,0.7217943
0.014983057,0.0013918835,0.98362505
0.05567462,0.060885236,0.88344014
0.13501935,0.078697175,0.78628343
0.43487954,0.01768492,0.5474356
0.8449795,0.060712516,0.09430793
0.12579475,0.007975893,0.8662293
0.1623598,0.050786387,0.7868538
0.75738233,0.104325905,0.13829169
0.06935339,0.00361214,0.9270345
0.8323645,0.074454546,0.09318091
0.06968102,0.08586011,0.8444589
0.9900506,0.0023041537,0.0076452405
0.062687285,0.085535295,0.85177743
0.9827999,0.005025976,0.012174119
0.084156364,0.046633083,0.8692105
0.45444763,0.1651921,0.3803603
0.38215604,0.41350353,0.2043404
0.9710645,0.0022933027,0.026642194
0.041699387,0.045007247,0.91329336
0.4951028,0.16349965,0.34139743
0.2726434,0.0063649984,0.7209917
0.27410176,0.40961897,0.31627935
0.27071235,0.55942166,0.16986603
0.97953725,0.0035898266,0.016872942
0.74114585,0.0028328677,0.25602126
0.86367214,0.07618462,0.06014328
0.5498193,0.3025745,0.1476063
0.09447969,0.047931977,0.8575883
0.073536724,0.17297572,0.7534876
0.72500145,0.19123125,0.08376728
0.6022311,0.0033951374,0.39437371
0.20322673,0.51986325,0.27690995
0.9753929,0.0064837257,0.018123291
0.40187547,0.18135063,0.41677397
0.12096123,0.07566044,0.8033783
0.2514123,0.46460712,0.2839806
0.94295627,0.010230345,0.04681335
0.96343684,0.00320841,0.03335463
0.15189868,0.16179444,0.68630683
0.32408202,0.20904018,0.4668779
0.52725315,0.32414308,0.14860374
0.27221215,0.41941443,0.30837342
0.9820079,0.0054692975,0.012522904
0.28326514,0.14772482,0.56901
0.7436472,0.09931583,0.15703703
0.03568992,0.0014236888,0.96288633
0.4464387,0.28307256,0.27048877
0.21318772,0.58042634,0.20638594
0.012353393,0.0027758896,0.98487073
0.10079586,0.06219374,0.83701044
0.06739149,0.05745977,0.8751488
0.14153051,0.18132946,0.67714
0.13350785,0.09397971,0.7725125
0.5786637,0.2394834,0.18185295
0.45721373,0.21955186,0.32323438
0.98377556,0.0038219783,0.012402444
0.15171298,0.2160908,0.63219625
0.2554227,0.34805563,0.3965216
0.325709,0.39604256,0.2782485
0.014361655,0.0046230056,0.9810153
0.2237747,0.08266401,0.69356126
0.08525915,0.052119587,0.86262125
0.021319697,0.034887664,0.9437926
0.0599774,0.0021020286,0.9379206
0.007921776,0.0026018694,0.9894763
0.9240571,0.0015839887,0.07435893
0.23555882,0.11626063,0.6481806
0.4770399,0.028072795,0.49488735
0.118878484,0.25084633,0.6302752
0.5679445,0.19426063,0.23779485
0.21372564,0.38404045,0.4022339
0.024788477,0.002806958,0.97240454
0.47399265,0.09428616,0.43172115
0.017441327,0.0026588151,0.9798998
0.22216378,0.45019424,0.32764202
0.013511963,0.0016917383,0.9847963
0.21021946,0.4306396,0.3591409
0.21541202,0.46326756,0.32132035
0.7028785,0.13879256,0.15832901
0.021640113,0.0027202254,0.97563964
0.8338176,0.070874885,0.09530745
0.3015098,0.2960615,0.40242872
0.98062193,0.0028796417,0.016498374
0.21058808,0.114984,0.6744279
0.51854104,0.19325575,0.28820318
0.072385535,0.08328987,0.8443246
0.9489896,0.007038907,0.043971412
0.9808004,0.0052676694,0.013932003
0.54729855,0.093002886,0.35969856
0.4344273,0.0046463725,0.5609263
0.29351512,0.14773813,0.55874676
0.34284872,0.34084916,0.31630212
0.04303948,0.04282428,0.9141363
0.047045488,0.05143072,0.9015238
0.068567894,0.08550035,0.84593177
0.8774546,0.002449082,0.12009632
0.90383196,0.009968265,0.08619982
0.87638307,0.06843992,0.055177
